,Cities,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed,Country Code,Date
0,Harper,4.375,-7.7169,88,78.69,22,8.59,LR,1612053318
1,Punta Arenas,-53.15,-70.9167,62,51.8,0,26.46,CL,1612053319
2,Kaitangata,-46.2817,169.8464,80,61.0,100,13.0,NZ,1612053320
3,Necochea,-38.5473,-58.7368,67,59.0,26,4.0,AR,1612053322
4,Jamestown,42.097,-79.2353,86,17.6,1,3.44,US,1612053323
5,Patacamaya,-17.2333,-67.9167,67,51.66,45,8.19,BO,1612053324
6,Korla,41.7597,86.1469,85,18.37,0,4.43,CN,1612053325
7,Hamilton,39.1834,-84.5333,93,33.01,90,10.36,US,1612053326
8,Bluff,-46.6,168.3333,66,58.46,95,7.52,NZ,1612053328
9,Puerto Ayora,-0.7393,-90.3518,90,78.01,51,7.0,EC,1612053312
10,Fortuna,40.5982,-124.1573,71,54.0,90,19.57,US,1612053099
11,Padang,-0.9492,100.3543,75,77.65,98,3.78,ID,1612053331
12,Busselton,-33.65,115.3333,58,75.99,0,8.48,AU,1612053332
13,Albany,42.6001,-73.9662,59,17.01,5,10.0,US,1612053136
14,Avarua,-21.2078,-159.775,70,84.2,75,4.61,CK,1612053315
15,Klaksvík,62.2266,-6.589,74,32.0,75,23.02,FO,1612053335
16,Kruisfontein,-34.0033,24.7314,90,60.01,0,3.4,ZA,1612053336
17,Kumba,4.6363,9.4469,88,73.63,0,1.57,CM,1612053337
18,Sovetskaya,44.7769,41.1722,86,34.11,100,8.16,RU,1612053338
19,Hendek,40.7994,30.7481,93,44.6,40,6.91,TR,1612053339
20,Rikitea,-23.1203,-134.9692,70,79.5,0,11.34,PF,1612053307
21,Carnarvon,-24.8667,113.6333,79,84.2,6,5.75,AU,1612053342
22,Auki,-8.7676,160.7034,82,82.42,100,12.75,SB,1612053343
23,Oshkosh,44.0247,-88.5426,69,30.99,90,18.41,US,1612053144
24,Ilulissat,69.2167,-51.1,61,6.8,90,8.05,GL,1612053320
25,Bac Lieu,9.285,105.7244,72,78.31,45,16.87,VN,1612053346
26,Campo Grande,-20.4428,-54.6464,88,73.4,20,6.91,BR,1612053175
27,Nikolskoye,59.7035,30.7861,93,25.0,75,4.47,RU,1612053139
28,Norman Wells,65.282,-126.8329,68,-27.4,40,3.44,CA,1612053335
29,Hualmay,-11.0964,-77.6139,76,71.38,58,9.01,PE,1612053353
30,Cape Town,-33.9258,18.4232,77,71.01,75,5.75,ZA,1612053354
31,Ribeira Grande,38.5167,-28.7,91,63.12,94,21.79,PT,1612053355
32,Saint Paul Harbor,57.79,-152.4072,55,33.8,1,23.02,US,1612053356
33,Vostok,46.4856,135.8833,85,-12.66,5,4.18,RU,1612053357
34,Mataura,-46.1927,168.8643,37,71.98,96,3.56,NZ,1612053358
35,Annau,37.8876,58.516,58,51.8,75,11.5,TM,1612053359
36,Mishan,45.55,131.8833,83,-10.07,0,3.15,CN,1612053360
37,Guerrero Negro,27.9769,-114.0611,65,60.84,100,15.99,MX,1612053361
38,Alice Springs,-23.7,133.8833,22,87.8,57,16.11,AU,1612053363
39,Sobolevo,54.4299,31.8996,97,16.25,100,4.18,RU,1612053364
40,Chibombo,-14.6569,28.0706,96,64.6,100,3.27,ZM,1612053365
41,Mar del Plata,-38.0023,-57.5575,63,62.01,75,18.41,AR,1612053141
42,Ushuaia,-54.8,-68.3,62,51.8,20,21.85,AR,1612053092
43,Yarim,14.298,44.3779,50,48.07,0,4.27,YE,1612053369
